team,experience,efficiency,salary,points3,points2,free_throws,points,off_rebounds,def_rebounds,assists,steals,blocks,turnovers,fouls
ATL,93,140.32690455395513,90.89,626,2254,1373,7759.0,807,2537,1784,601,354,1136,1329
BOS,63,148.2524702723612,91.92,985,2183,1536,8857.0,744,2698,2069,617,341,1037,1686
BRK,52,147.78234277005438,65.45,738,1950,1381,7495.0,608,2546,1593,547,372,1152,1522
CHI,58,139.1024968365286,92.08,565,2162,1330,7349.0,865,2416,1746,605,339,952,1275
CHO,66,145.2993820869104,100.25,808,2102,1499,8127.0,634,2636,1805,550,320,827,1198
CLE,128,177.85851381041783,125.79,1012,2107,1355,8605.0,727,2639,1760,475,299,1005,1318
DAL,62,148.22430214515933,92.1,754,1803,1042,6910.0,534,2109,1291,538,266,703,1280
DEN,74,167.35948060634087,78.38,868,2347,1471,8769.0,867,2646,2009,538,285,1097,1458
DET,55,136.37624224785537,103.07,631,2638,1140,8309.0,908,2838,1731,574,310,932,1467
GSW,101,172.39163891909195,98.69,982,2540,1447,9473.0,759,2854,2475,779,551,1171,1565
HOU,56,155.10314586870086,84.66,1141,1769,1508,8469.0,766,2429,1906,564,292,1046,1314
IND,84,135.06971617160218,84.57,641,2331,1333,7918.0,679,2436,1713,612,391,996,1490
LAC,124,147.12418871785297,114.78,841,2401,1586,8911.0,740,2790,1848,613,349,1024,1626
LAL,66,143.97677477822208,86.27,592,2249,1080,7354.0,909,2462,1430,593,307,1028,1593
MEM,83,140.97073285110503,108.34,750,2140,1465,7995.0,866,2534,1669,612,329,973,1748
MIA,63,151.99017964490716,72.78,799,2349,1217,8312.0,857,2649,1728,577,464,1019,1647
MIL,64,153.25882055538148,90.27,718,2424,1388,8390.0,700,2541,1953,651,422,1064,1601
MIN,48,144.8383278764674,59.38,601,2623,1585,8634.0,938,2530,1934,652,370,1095,1644
NOP,55,164.2521489925603,90.63,513,1952,1120,6563.0,580,2244,1523,497,380,823,1164
NYK,59,143.90333025040684,97.01,636,2445,1262,8060.0,961,2591,1499,526,451,975,1584
OKC,55,146.86802910015845,86.98,611,2380,1511,8104.0,936,2628,1610,595,394,1133,1561
ORL,57,125.14061717044824,102.41,614,2168,1230,7408.0,699,2435,1744,544,302,978,1432
PHI,34,164.09158244312238,55.78,690,1917,1212,7116.0,673,2282,1788,599,369,1184,1516
PHO,68,144.30651938242653,72.53,564,2551,1605,8399.0,882,2456,1530,587,385,1171,1886
POR,43,143.73205157796548,103.03,852,2156,1386,8254.0,710,2437,1519,524,345,988,1587
SAC,68,148.39536657734533,88.19,558,1838,998,6348.0,524,1878,1394,503,234,847,1302
SAS,99,146.62364621805375,104.69,743,2459,1431,8578.0,821,2768,1926,650,485,1038,1479
TOR,57,158.76579846156505,108.46,626,2359,1570,8166.0,848,2533,1469,621,379,933,1609
UTA,71,145.81934827477448,80.32,791,2242,1401,8258.0,771,2774,1651,550,410,1061,1545
WAS,56,143.01169208719813,98.78,671,2417,1316,8163.0,748,2393,1861,605,314,1017,1465
